arm,seed,macro_auprc,threshold_ap,parameters,views_per_molecule,macro_auroc,micro_auprc,brier
M0,2026,0.14325293908328207,0.14321741434620264,1172752,4,0.8814784576364327,0.4073317307197476,0.005323520572322066
M0,7,0.14155696608333412,0.1414789415688616,1172752,4,0.8792761543997071,0.4050241696164973,0.0053321573582683045
M0,13,0.14061056471735678,0.14058891998738174,1172752,4,0.878772080454458,0.40502490585287637,0.005335780002912246
M0T,2026,0.26073186563424544,0.26069616116012806,4442128,4,0.8998308561714908,0.4762027427638714,0.004980073578883814
M0T,7,0.2603012861120247,0.26025773233972194,4442128,4,0.9008108608347251,0.4792953050348616,0.004956131207292497
M0T,13,0.25917557458480023,0.25914874918446795,4442128,4,0.900034296479112,0.4752518022390461,0.0049840493870108304
M1D,2026,0.1615990763231751,0.16158291401298785,714528,4,0.8929931536157206,0.4183952905334772,0.005282499713763028
M1D,7,0.15687734210000898,0.15684568840009405,714528,4,0.8914977293939811,0.41570587875378767,0.00529823825502009
M1D,13,0.1585379678334732,0.15850342668641462,714528,4,0.8940005214561292,0.41764534674532244,0.005293602853942837
M1R,2026,0.1591265882227284,0.15909271993509186,712336,4,0.8991363377521405,0.42865197137914424,0.005247352213627253
M1R,7,0.15698429599356828,0.15693970661816764,712336,4,0.8980042394300916,0.4273322513427845,0.005249590055627268
M1R,13,0.1540583434097157,0.15401915439529823,712336,4,0.896042265119609,0.42587552953689467,0.0052591778523278085
M1,2026,0.17308179502165236,0.17300480176210328,712336,4,0.9063394201086721,0.4488189236445054,0.005128487498880927
M1,7,0.17087299133915554,0.1708123426646864,712336,4,0.9062895134896503,0.44006164853053925,0.005168828766149354
M1,13,0.16874300538542683,0.16870450579896848,712336,4,0.9068203993048805,0.4467120034889025,0.005138151765714151
M2,2026,0.18988309597153394,0.18985789309010132,829584,4,0.907232501861813,0.45300992780283283,0.0051190107409373785
M2,7,0.18930251956114097,0.18930250343412633,829584,4,0.9051988449357705,0.4548594087565139,0.0051141364231054995
M2,13,0.18710171282474738,0.18710166325431435,829584,4,0.9089573222904128,0.45405740975513537,0.005116557656966679
