target_index,M0_seed2026,M0_seed7,M0_seed13,M0T_seed2026,M0T_seed7,M0T_seed13,M1D_seed2026,M1D_seed7,M1D_seed13,M1R_seed2026,M1R_seed7,M1R_seed13,M1_seed2026,M1_seed7,M1_seed13,M2_seed2026,M2_seed7,M2_seed13
0,0.8613276269749252,0.8573148529914799,0.8541915985067905,0.8659191880675253,0.869574483708005,0.8666042441748227,0.8623450606257343,0.8664794062867189,0.8673860763694017,0.8873772556451516,0.8856994886037136,0.8918141661245393,0.8931652127307829,0.8889069490807233,0.8880541305801416,0.8904393810535357,0.888734303963611,0.8924287880415602
1,0.6980160554637179,0.6968384999836859,0.6942365527383276,0.7215355608782642,0.7206124711623478,0.7191997625916208,0.7060221368236753,0.7117342643468776,0.7117820659255237,0.7221360472508616,0.7338095634376371,0.7293519690547781,0.7519828030381009,0.7441749047005902,0.7522956286842395,0.7544400097225509,0.7455347585498847,0.7535305322980362
2,0.4936942689721505,0.4969391045440153,0.49385246960150875,0.5364737743451896,0.5542211776276788,0.5455666892864572,0.505215695077187,0.4776709230358632,0.4921652641202387,0.5210322633482911,0.5113323943422735,0.49767484099032994,0.5970930467360647,0.5817971333422274,0.5940700000141836,0.6011886857805397,0.6009196996655047,0.6111429945841405
3,0.3917032550819366,0.3979352373331485,0.4115884284667567,0.45317067560824964,0.45447686483420996,0.4471867902246907,0.429783257506637,0.42195531982468204,0.4307889400852219,0.42544507960847877,0.457727373163147,0.44648012444562846,0.4835026813163904,0.4811070124383054,0.49592847703497484,0.4768971669458371,0.49546060426554467,0.47462042316846265
4,0.31850160046178616,0.33028060237761675,0.318927557104936,0.39819120864510754,0.3914200233903135,0.39445124325777087,0.3554563641028407,0.361576158125577,0.3752052224624393,0.380671879286659,0.38800564837085166,0.3529020154908831,0.41941037651135066,0.4230556547599068,0.38674095755971744,0.43585473798838786,0.37997899277618197,0.39865418368860844
5,0.57941414012759,0.5578622710707839,0.5580275421914501,0.6545874426059574,0.6609407163554741,0.653339716849438,0.5645144151685425,0.5689550438027652,0.5462370726489907,0.5375023224173792,0.5326667339246295,0.5284416820710818,0.5610719411748523,0.5414155776978878,0.5840687333881829,0.573061458574713,0.5950461660021131,0.5384647614638206
6,0.28816568244507296,0.29514478780874015,0.28501489628395676,0.33470669971082495,0.3330316430331104,0.3201697356057503,0.24879736644841427,0.2417561347520438,0.2408356089964204,0.271911278328459,0.2625732020233422,0.26722456135521233,0.3001804950868195,0.2606168731488198,0.3102158965566356,0.27415335250172995,0.28756337222207856,0.2839710011373538
7,0.19358646441927937,0.2047683685743723,0.19343948171751707,0.29502253864165445,0.3076825612613944,0.306433920013095,0.22277096946969357,0.22417305188128442,0.21520930295405402,0.23445094121764598,0.24961359946963949,0.21408858581248985,0.2079471126915604,0.2169621320418803,0.19907766129521154,0.19058426277252968,0.24397596628947674,0.22254360115686683
8,0.5237479882362575,0.5314645989570946,0.5313879183556144,0.537968560283312,0.5468198052627874,0.5384719402487541,0.5074775599839473,0.5076242063268195,0.524208225798434,0.5239559297710984,0.5417939237752528,0.5275873607049388,0.5789652121961657,0.5506234488642519,0.5370852194153078,0.5863336676035447,0.595553036198005,0.5779548650605438
9,0.2792365245400912,0.29048767894862026,0.28751093916646087,0.39780016737870016,0.3922032774005411,0.40563604063196645,0.3499325559997144,0.3322087526750159,0.3535265134074732,0.3467198803390547,0.3507811188870409,0.34628906779506186,0.3660694257535247,0.3808908559148886,0.37879387260808745,0.3793625024976895,0.3883270086954473,0.3647500228449125
10,0.6475236728648249,0.6714906742056083,0.6468871487552683,0.7267630849741747,0.7270563003051028,0.7446700678039617,0.626976126283444,0.5894570960362568,0.6235286877557826,0.6303588612692649,0.6300286743207899,0.6504286473602976,0.6731569395046766,0.6083596470207746,0.6379188013436417,0.6981297182705307,0.690839496931618,0.7293384395540281
11,0.17405225334521568,0.16962373850117457,0.17124874399533638,0.3084622973606893,0.3016295390065767,0.3044556630067531,0.17766025484818404,0.17307203701684143,0.18919757333105464,0.17418887468927835,0.16623357813785558,0.17256877752859393,0.15169877059019854,0.16366760559670426,0.183124404470697,0.16824987567571828,0.1613097971934985,0.15996152985886464
12,0.24832506240008756,0.254229094143053,0.2380987158369901,0.4779280082206119,0.4769178398281312,0.4609590702677213,0.25025241923010827,0.31706775099588874,0.28465324559221744,0.21294824376793253,0.22249070556509887,0.2576733647625925,0.2965513609487299,0.2693435780915677,0.2530615679448783,0.3105324874249211,0.3266342853718958,0.25250951639525093
