corpus,arm,seed,parameters,best_epoch,macro_auprc,macro_auroc,micro_auprc,brier,n_molecules
open,M0,2026,1164560,14,0.11203835505042616,0.8606754097861115,0.36346550707229824,0.005549271115915402,10058
open,M0,7,1164560,14,0.11428154214494322,0.8613356006009814,0.366455679806586,0.005535308322824453,10058
open,M0,13,1164560,13,0.1125953692528242,0.8610033552940819,0.36578265470113863,0.0055382004930272935,10058
open,M1D,2026,714528,12,0.1615990763231751,0.8929931536157206,0.4183952905334772,0.005282499713763028,10058
open,M1D,7,714528,13,0.15687734210000898,0.8914977293939811,0.41570587875378767,0.00529823825502009,10058
open,M1D,13,714528,14,0.1585379678334732,0.8940005214561292,0.41764534674532244,0.005293602853942837,10058
open,M1R,2026,712336,14,0.15912658822272843,0.8991363377521405,0.42865197137914424,0.005247352213627253,10058
open,M1R,7,712336,13,0.15698429599356828,0.8980042394300916,0.4273322513427845,0.005249590055627268,10058
open,M1R,13,712336,14,0.1540583434097157,0.896042265119609,0.42587552953689467,0.0052591778523278085,10058
open,M1,2026,712336,14,0.17308179502165233,0.9063394201086721,0.4488189236445054,0.005128487498880927,10058
open,M1,7,712336,13,0.1708729913391556,0.9062895134896503,0.44006164853053925,0.005168828766149354,10058
open,M1,13,712336,13,0.16874300538542686,0.9068203993048805,0.4467120034889025,0.005138151765714151,10058
open,M2,2026,829584,14,0.18988309597153394,0.907232501861813,0.45300992780283283,0.0051190107409373785,10058
open,M2,7,829584,14,0.18930251956114097,0.9051988449357705,0.4548594087565139,0.0051141364231054995,10058
open,M2,13,829584,12,0.18710171282474738,0.9089573222904128,0.45405740975513537,0.005116557656966679,10058
single_library,M0,2026,1164560,13,0.04757417223007839,0.7832200270133786,0.2904752484813759,0.007038138366236835,8692
single_library,M0,7,1164560,13,0.04724045991229798,0.7818635604833646,0.29028334021655877,0.007039777818380106,8692
single_library,M0,13,1164560,14,0.048467049120384784,0.783707954292376,0.2899717318161379,0.00703951656340002,8692
single_library,M1R,2026,712336,13,0.08672848021315263,0.8457316115946107,0.35193638684170503,0.006725163991785079,8692
single_library,M1R,7,712336,14,0.08556798944859892,0.8474320647522732,0.3523602090361955,0.006719377944574528,8692
single_library,M1R,13,712336,14,0.08401036835376116,0.8470424094669964,0.3485444914502399,0.006752643675969488,8692
single_library,M1,2026,712336,14,0.11194143807210602,0.8734143373828789,0.3842299490876679,0.006534799105193037,8692
single_library,M1,7,712336,13,0.1084547789519326,0.8716875400724857,0.3797245283356186,0.006560098233361563,8692
single_library,M1,13,712336,13,0.11624350841423661,0.8759396722100352,0.38782949856307125,0.00651640293665849,8692
single_library,M2,2026,829584,13,0.14602299770384053,0.8860956000370408,0.4087869694137234,0.006394816736734651,8692
single_library,M2,7,829584,13,0.14275702171108892,0.8824012776775245,0.40287802971082953,0.006435543982020768,8692
single_library,M2,13,829584,14,0.14440967210328623,0.8836524603834396,0.4059800466211708,0.006411016019452051,8692
